Date,Subcontractor,Part,Base_Plan_Qty,Backlog_Qty,Actual_Qty
,KSA,10038-6229N;S,1000.0,0.0,0.0
,KSA,10038-6229N;S,1000.0,0.0,0.0
,KSA,10038-6229N;S,1000.0,0.0,0.0
,KSA,10038-6229N;S,1000.0,0.0,0.0
,KSA,10038-6229N;S,1000.0,0.0,0.0
,KSA,10803-009;S,1000.0,0.0,0.0
,KSA,11363-K0R-V000;S,5000.0,0.0,0.0
,KSA,11363-K0R-V000;S,5000.0,0.0,0.0
,KSA,11363-K0R-V000;S,5000.0,0.0,0.0
,KSA,11363-K0R-V000;S,5000.0,0.0,0.0
,KSA,11363-K0R-V000;S,5000.0,0.0,0.0
,KSA,11363-K0R-V000;S,5000.0,0.0,0.0
,KSA,11363-K0R-V000;S,5000.0,0.0,0.0
,KSA,11363-K0R-V000;S,5000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,1209421300;S,6000.0,0.0,0.0
,KSA,16325-0H020;S,3000.0,0.0,0.0
,KSA,16325-0H020;S,3000.0,0.0,0.0
,KSA,16325-0H020;S,3000.0,0.0,0.0
,KSA,16325-0H020;S,3000.0,0.0,0.0
,KSA,16325-0H020;S,3000.0,0.0,0.0
,KSA,16325-0H020;S,3000.0,0.0,0.0
,KSA,16325-0H020;S,3000.0,0.0,0.0
,KSA,16325-0H020;S,3000.0,0.0,0.0
,KSA,16325-0H020;S,2000.0,0.0,0.0
,KSA,16325-0H020;S,2000.0,0.0,0.0
,KSA,16325-0H020;S,2000.0,0.0,0.0
,KSA,16325-0H020;S,2000.0,0.0,0.0
,KSA,16325-0H020;S,2000.0,0.0,0.0
,KSA,1754967700;S,3000.0,0.0,0.0
,KSA,1754967700;S,3000.0,0.0,0.0
,KSA,1754967700;S,3000.0,0.0,0.0
,KSA,1754967700;S,3000.0,0.0,0.0
,KSA,1754967700;S,3000.0,0.0,0.0
,KSA,1754967700;S,3000.0,0.0,0.0
,KSA,17572-K26A-9000;S,1000.0,0.0,0.0
,KSA,17572-K26A-9000;S,1000.0,0.0,0.0
,KSA,17572-K26A-9000;S,1000.0,0.0,0.0
,KSA,17572-K26A-9000;S,1000.0,0.0,0.0
,KSA,17572-K26A-9000;S,1000.0,0.0,0.0
,KSA,17572-K26A-9000;S,1000.0,0.0,0.0
,KSA,17572-K26A-9000;S,1000.0,0.0,0.0
,KSA,17572-K26A-9000;S,1000.0,0.0,0.0
,KSA,19639-MKYA-D501;S,1000.0,0.0,0.0
,KSA,19639-MKYA-D501;S,1000.0,0.0,0.0
,KSA,19639-MKYA-D501;S,1000.0,0.0,0.0
,KSA,33415-K1TA-E500;S,510.0,0.0,0.0
,KSA,33415-K1TA-E500;S,510.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,41241-MGS-D301;S,2400.0,0.0,0.0
,KSA,4772333700;S,2000.0,0.0,0.0
,KSA,4772333700;S,2000.0,0.0,0.0
,KSA,4772333700;S,2000.0,0.0,0.0
,KSA,4772333700;S,2000.0,0.0,0.0
,KSA,4772333700;S,2000.0,0.0,0.0
,KSA,4772333700;S,2000.0,0.0,0.0
,KSA,4772333700;S,2000.0,0.0,0.0
,KSA,4W4H29259;S,1200.0,0.0,0.0
,KSA,5T28681341;S,500.0,0.0,0.0
,KSA,61113-91L00;S,300.0,0.0,0.0
,KSA,61113-91L00;S,300.0,0.0,0.0
,KSA,62735-17013;S,840.0,0.0,0.0
,KSA,62735-17013;S,840.0,0.0,0.0
,KSA,62735-17013;S,840.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,1800.0,0.0,0.0
,KSA,63489-0K040;S,900.0,0.0,0.0
,KSA,63489-0K040;S,900.0,0.0,0.0
,KSA,63835A000P;S,1200.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,63835A000P;S,600.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,77207-GN5-9101;S,12000.0,0.0,0.0
,KSA,7902S0568;S,4000.0,0.0,0.0
,KSA,7902S0568;S,4000.0,0.0,0.0
,KSA,7902S0568;S,4000.0,0.0,0.0
,KSA,7902S0568;S,4000.0,0.0,0.0
,KSA,7902S0568;S,4000.0,0.0,0.0
,KSA,7902S0568;S,4000.0,0.0,0.0
,KSA,7902S0568;S,4000.0,0.0,0.0
,KSA,7902S0568;S,4000.0,0.0,0.0
,KSA,80123-KPPA-9000;S,600.0,0.0,0.0
,KSA,80123-KPPA-9000;S,600.0,0.0,0.0
,KSA,80123-KPPA-9000;S,600.0,0.0,0.0
,KSA,80123-KPPA-9000;S,600.0,0.0,0.0
,KSA,80123-KPPA-9000;S,600.0,0.0,0.0
,KSA,85373-BZ180-H;S,2000.0,0.0,0.0
,KSA,85373-BZ180-H;S,2000.0,0.0,0.0
,KSA,85373-BZ180-H;S,2000.0,0.0,0.0
,KSA,85373-BZ180-H;S,2000.0,0.0,0.0
,KSA,8976691260;S,600.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-02;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8983649480-04;S,500.0,0.0,0.0
,KSA,8984848900;S,600.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0004;S,5000.0,0.0,0.0
,KSA,90480-T0005-AT;S,6000.0,0.0,0.0
,KSA,90480-T0005-AT;S,6000.0,0.0,0.0
,KSA,90480-T0005-AT;S,6000.0,0.0,0.0
,KSA,90480-T0005-AT;S,6000.0,0.0,0.0
,KSA,90480-T0005-AT;S,6000.0,0.0,0.0
,KSA,90480-T0005-AT;S,6000.0,0.0,0.0
,KSA,90480-T0005-AT;S,6000.0,0.0,0.0
,KSA,909565-3350;S,1600.0,0.0,0.0
,KSA,91354-YH4-6102;S,1000.0,0.0,0.0
,KSA,91354-YH4-6102;S,1000.0,0.0,0.0
,KSA,91592-TZB-0000;S,1000.0,0.0,0.0
,KSA,91592-TZB-0000;S,1000.0,0.0,0.0
,KSA,91592-TZB-0000;S,1000.0,0.0,0.0
,KSA,92075-1808B;S,3000.0,0.0,0.0
,KSA,92075-1808B;S,3000.0,0.0,0.0
,KSA,92075-1808B;S,3000.0,0.0,0.0
,KSA,92075-1808B;S,3000.0,0.0,0.0
,KSA,92075-1808B;S,3000.0,0.0,0.0
,KSA,92075-1808B;S,3000.0,0.0,0.0
,KSA,92075-1808B;S,3000.0,0.0,0.0
,KSA,92075-1808B;S,3000.0,0.0,0.0
,KSA,93848A010P;S,200.0,0.0,0.0
,KSA,93848A010P;S,200.0,0.0,0.0
,KSA,93848A010P;S,200.0,0.0,0.0
,KSA,93848A010P;S,200.0,0.0,0.0
,KSA,DCFD1125;S,5000.0,0.0,0.0
,KSA,ECD300668;S,4000.0,0.0,0.0
,KSA,HEE-255;S,300.0,0.0,0.0
,KSA,HEE-259;S,400.0,0.0,0.0
,KSA,HEE-259;S,400.0,0.0,0.0
,KSA,HEE-260;S,500.0,0.0,0.0
,KSA,HEE-260;S,500.0,0.0,0.0
,KSA,HEE-260;S,500.0,0.0,0.0
,KSA,HK1L1-256-0A-ST;S,1500.0,0.0,0.0
,KSA,HK1L1-256-0A-ST;S,1500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,15000.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,15000.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,HKVY2-470-01-TH;S,12500.0,0.0,0.0
,KSA,M900-67019;S,1000.0,0.0,0.0
,KSA,M900-67019;S,1000.0,0.0,0.0
,KSA,M900-67019;S,1000.0,0.0,0.0
,KSA,M900-67019;S,1000.0,0.0,0.0
,KSA,MD305979;S,1000.0,0.0,0.0
,KSA,MD305979;S,1000.0,0.0,0.0
,KSA,RMS-LW-Z10;S,600.0,0.0,0.0
,KSA,RMS-LW-Z11;S,400.0,0.0,0.0
,KSA,RMS-LW-Z12;S,500.0,0.0,0.0
,KSA,RMS-LW-Z12;S,500.0,0.0,0.0
,KSA,RMS-LW-Z17;S,400.0,0.0,0.0
,KSA,RMS-LW-Z17;S,400.0,0.0,0.0
,KSA,RMS-LW-Z22;S,400.0,0.0,0.0
,KSA,RMS-LW-ZK31B;S,400.0,0.0,0.0
,KSA,RMS-UP-110;S,500.0,0.0,0.0
,KSA,RMS-UP-110;S,500.0,0.0,0.0
,KSA,RMS-UP-63A;S,400.0,0.0,0.0
,KSA,RMS-UP-63A;S,400.0,0.0,0.0
,KSA,RMS-UP-S1;S,400.0,0.0,0.0
,KSA,SDR3110017;S,2000.0,0.0,0.0
,KSA,SDR3110038;S,500.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG028065-1050;S,1000.0,0.0,0.0
,KSA,TG060357-0602;S,2000.0,0.0,0.0
,KSA,TG060357-0602;S,2000.0,0.0,0.0
,KSA,TG949322-3690;S,2000.0,0.0,0.0
,KSA,WIR-SL-BSH-XXX;S,1200.0,0.0,0.0
,KSA,WIR-SL-BSH-XXX;S,1200.0,0.0,0.0
,KSA,WIR-SL-BSH-XXX;S,1200.0,0.0,0.0
,KSA,WIR-SL-BSH-XXX;S,1200.0,0.0,0.0
,KSA,WIR-SL-BSH-XXX;S,1200.0,0.0,0.0
,KSA,WIR-SL-CLP/281;S,500.0,0.0,0.0
,KSA,WIR-SL-CLP/281;S,500.0,0.0,0.0
,KSA,XLR215-KUAAA-01;S,1200.0,0.0,0.0
,KSA,XLR215-KUAAA-01;S,600.0,0.0,0.0
,KSA,XLR215-KUAAA-01;S,600.0,0.0,0.0
,KSA,XLR215-KUAAA-01;S,600.0,0.0,0.0
